Canonical Title,LearnNatively Level,LearnNatively JLPT,LearnNatively URL,jpdb Difficulty,jpdb URL,Netflix Alias,Crunchyroll Alias,Notes
"Bocchi the Rock!",20,N3,https://learnnatively.com/,7,https://jpdb.io/,"BOCCHI THE ROCK!","BOCCHI THE ROCK!","Popular music comedy"
"Delicious in Dungeon",18,N3,https://learnnatively.com/,9,https://jpdb.io/,"DELICIOUS IN DUNGEON","","Fantasy cooking"
"Frieren: Beyond Journey's End",25,N2,https://learnnatively.com/,20,https://jpdb.io/,"","Frieren: Beyond Journey's End","Fantasy adventure"
"Haikyu!!",22,N3,https://learnnatively.com/,12,https://jpdb.io/,"HAIKYU!!","HAIKYU!!","Sports volleyball"
"Demon Slayer",20,N3,https://learnnatively.com/,15,https://jpdb.io/,"DEMON SLAYER","","Action supernatural"
"My Hero Academia",18,N3,https://learnnatively.com/,10,https://jpdb.io/,"MY HERO ACADEMIA","MY HERO ACADEMIA","Superhero school"
"Attack on Titan",23,N2,https://learnnatively.com/,18,https://jpdb.io/,"ATTACK ON TITAN","ATTACK ON TITAN","Dark fantasy"
"Death Note",19,N3,https://learnnatively.com/,14,https://jpdb.io/,"DEATH NOTE","DEATH NOTE","Psychological thriller"
"Steins;Gate",26,N2,https://learnnatively.com/,22,https://jpdb.io/,"STEINS;GATE","STEINS;GATE","Sci-fi thriller"
"Neon Genesis Evangelion",28,N2,https://learnnatively.com/,25,https://jpdb.io/,"NEON GENESIS EVANGELION","","Mecha psychological"
"Cowboy Bebop",24,N2,https://learnnatively.com/,21,https://jpdb.io/,"COWBOY BEBOP","COWBOY BEBOP","Sci-fi noir"
"Jujutsu Kaisen",20,N3,https://learnnatively.com/,13,https://jpdb.io/,"JUJUTSU KAISEN","JUJUTSU KAISEN","Action supernatural"
"Chainsaw Man",21,N3,https://learnnatively.com/,16,https://jpdb.io/,"CHAINSAW MAN","CHAINSAW MAN","Action dark"
"Spy x Family",17,N3,https://learnnatively.com/,8,https://jpdb.io/,"SPY X FAMILY","SPY X FAMILY","Comedy action family"
"Solo Leveling",15,N4,https://learnnatively.com/,5,https://jpdb.io/,"SOLO LEVELING","SOLO LEVELING","Action fantasy webtoon"
"Tower of God",16,N4,https://learnnatively.com/,6,https://jpdb.io/,"TOWER OF GOD","TOWER OF GOD","Fantasy adventure webtoon"
"Bleach",20,N3,https://learnnatively.com/,14,https://jpdb.io/,"BLEACH","BLEACH","Action supernatural"
"Naruto",19,N3,https://learnnatively.com/,12,https://jpdb.io/,"NARUTO","NARUTO","Action ninja"
"One Piece",19,N3,https://learnnatively.com/,13,https://jpdb.io/,"ONE PIECE","ONE PIECE","Adventure pirate"
"Fullmetal Alchemist",22,N3,https://learnnatively.com/,19,https://jpdb.io/,"FULLMETAL ALCHEMIST","FULLMETAL ALCHEMIST","Fantasy alchemy"
"Code Geass",23,N2,https://learnnatively.com/,20,https://jpdb.io/,"CODE GEASS","CODE GEASS","Mecha strategy"
"The Promised Neverland",21,N3,https://learnnatively.com/,17,https://jpdb.io/,"THE PROMISED NEVERLAND","THE PROMISED NEVERLAND","Thriller mystery"
"Mob Psycho 100",19,N3,https://learnnatively.com/,11,https://jpdb.io/,"MOB PSYCHO 100","MOB PSYCHO 100","Comedy supernatural"
"Violet Evergarden",23,N2,https://learnnatively.com/,19,https://jpdb.io/,"VIOLET EVERGARDEN","VIOLET EVERGARDEN","Drama fantasy"
"A Silent Voice",24,N2,https://learnnatively.com/,20,https://jpdb.io/,"A SILENT VOICE","","Romance drama movie"
"Your Name",22,N3,https://learnnatively.com/,18,https://jpdb.io/,"YOUR NAME","YOUR NAME","Romance drama movie"
"Weathering with You",21,N3,https://learnnatively.com/,17,https://jpdb.io/,"WEATHERING WITH YOU","","Romance fantasy movie"
"Kaguya-sama: Love is War",20,N3,https://learnnatively.com/,12,https://jpdb.io/,"KAGUYA-SAMA: LOVE IS WAR","KAGUYA-SAMA: LOVE IS WAR","Comedy romance"
